date,target
2021-01-01,988.08
2021-01-02,747.42
2021-01-03,852.44
2021-01-04,1018.97
2021-01-05,888.83
2021-01-06,943.59
2021-01-07,1025.8
2021-01-08,989.33
2021-01-09,833.64
2021-01-10,787.89
2021-01-11,1032.33
2021-01-12,1048.42
2021-01-13,1021.13
2021-01-14,1076.14
2021-01-15,1021.48
2021-01-16,770.89
2021-01-17,834.28
2021-01-18,907.3
2021-01-19,1028.31
2021-01-20,988.83
2021-01-21,979.22
2021-01-22,936.13
2021-01-23,867.03
2021-01-24,792.06
2021-01-25,928.82
2021-01-26,959.33
2021-01-27,1026.23
2021-01-28,1356.29
2021-01-29,1014.7
2021-01-30,847.67
2021-01-31,947.45
2021-02-01,957.74
2021-02-02,981.03
2021-02-03,984.3
2021-02-04,1067.78
2021-02-05,1085.62
2021-02-06,847.05
2021-02-07,809.43
2021-02-08,961.52
2021-02-09,1066.27
2021-02-10,1084.88
2021-02-11,1071.77
2021-02-12,987.68
2021-02-13,859.6
2021-02-14,848.62
2021-02-15,999.12
2021-02-16,1053.16
2021-02-17,1026.64
2021-02-18,1046.45
2021-02-19,993.47
2021-02-20,827.92
2021-02-21,843.29
2021-02-22,875.88
2021-02-23,960.4
2021-02-24,966.15
2021-02-25,957.43
2021-02-26,964.46
2021-02-27,890.76
2021-02-28,764.15
2021-03-01,1029.03
2021-03-02,911.2
2021-03-03,1004.07
2021-03-04,1035.17
2021-03-05,1046.98
2021-03-06,882.54
2021-03-07,888.27
2021-03-08,975.6
2021-03-09,991.88
2021-03-10,1076.93
2021-03-11,1016.04
2021-03-12,937.72
2021-03-13,767.04
2021-03-14,773.12
2021-03-15,994.89
2021-03-16,992.48
2021-03-17,1030.71
2021-03-18,962.98
2021-03-19,974.84
2021-03-20,821.79
2021-03-21,765.93
2021-03-22,954.55
2021-03-23,914.02
2021-03-24,943.53
2021-03-25,942.11
2021-03-26,883.42
2021-03-27,804.01
2021-03-28,753.73
2021-03-29,933.17
2021-03-30,985.8
2021-03-31,1002.01
2021-04-01,598.52
2021-04-02,959.36
2021-04-03,771.25
2021-04-04,792.95
2021-04-05,856.66
2021-04-06,894.69
2021-04-07,916.4
2021-04-08,933.58
2021-04-09,994.06
2021-04-10,745.82
2021-04-11,770.84
2021-04-12,1008.14
2021-04-13,934.82
2021-04-14,1003.07
2021-04-15,904.26
2021-04-16,922.64
2021-04-17,701.03
2021-04-18,727.69
2021-04-19,936.05
2021-04-20,812.47
2021-04-21,940.82
2021-04-22,925.86
2021-04-23,862.47
2021-04-24,640.07
2021-04-25,722.62
2021-04-26,839.61
2021-04-27,906.06
2021-04-28,910.82
2021-04-29,1000.18
2021-04-30,887.29
2021-05-01,673.77
2021-05-02,743.05
2021-05-03,898.18
2021-05-04,986.79
2021-05-05,974.3
2021-05-06,948.99
2021-05-07,995.36
2021-05-08,674.99
2021-05-09,703.11
2021-05-10,834.17
2021-05-11,883.01
2021-05-12,838.12
2021-05-13,942.82
2021-05-14,874.55
2021-05-15,625.35
2021-05-16,643.14
2021-05-17,859.01
2021-05-18,904.37
2021-05-19,976.08
2021-05-20,1020.63
2021-05-21,863.55
2021-05-22,608.71
